FIPS,Qualifying Name,Population Density (Per Sq. Mile),Area (Land),Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Nonfamily Households,Occupied Housing Units: 1-Person Household,Occupied Housing Units: 2-Person Household,Occupied Housing Units: 3-Person Household,Occupied Housing Units: 4-Person Household,Occupied Housing Units: 5-Person Household,Occupied Housing Units: 6-Person Household,Occupied Housing Units: 7-or-More Person Household,Average Household Size,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,Population 3 Years and Over: Enrolled in School,Population 3 Years and Over: Not Enrolled in School,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,White 16 Years Old in Civilian Labor Force: Employed,White 16 Years Old in Civilian Labor Force: Unemployed,Black or African American 16 Years Old in  Civilian Labor Force: Employed,Black or African American 16 Years Old in  Civilian Labor Force: Unemployed,American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Employed,American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Unemployed,Asian 16 Years Old in Civilian Labor Force: Employed,Asian 16 Years Old in Civilian Labor Force: Unemployed,Native Hawaiian and Other Pacific Islander 16 Years Old in Civilian Labor Force: Employed,Native Hawaiian and Other Pacific Islander 16 Years Old In Civilian Labor Force: Unemployed,Some Other Race 16 Years Old in Civilian Labor Force: Employed,Some Other Race 16 Years Old in Civilian Labor Force: Unemployed,Two or More Races 16 Years Old in Civilian Labor Force: Employed,Two or More Races 16 Years Old in Civilian Labor Force: Unemployed,Hispanic or Latino 16 Years Old in Civilian Labor Force: Employed,Hispanic or Latino 16 Years Old in Civilian Labor Force: Unemployed,"White Alone, Not Hispanic or Latino 16 Years Old In Civilian Labor Force: Employed","White Alone, Not Hispanic or Latino 16 Years Old In Civilian Labor Force: Unemployed","Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining",Employed Civilian Population 16 Years and Over: Construction,Employed Civilian Population 16 Years and Over: Manufacturing,Employed Civilian Population 16 Years and Over: Wholesale Trade,Employed Civilian Population 16 Years and Over: Retail Trade,"Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities",Employed Civilian Population 16 Years and Over: Information,"Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration",Employed Civilian Population 16 Years and Over: Public Administration,"Employed Civilian Population 16 Years and Over: Management, Business, and Financial Operations  Occupations",Employed Civilian Population 16 Years and Over: Professional and Related Occupations,Employed Civilian Population 16 Years and Over: Healthcare Support Occupations,Employed Civilian Population 16 Years and Over: Protective Service Occupations,Employed Civilian Population 16 Years and Over: Food Preparation and Serving Related Occupations,Employed Civilian Population 16 Years and Over: Building and Grounds Cleaning and Maintenance  Occupations,Employed Civilian Population 16 Years and Over: Personal Care and Service Occupations,Employed Civilian Population 16 Years and Over: Sales and Related Occupations,Employed Civilian Population 16 Years and Over: Office and Administrative Support Occupations,"Employed Civilian Population 16 Years and Over: Farming, Fishing, and Forestry Occupations","Employed Civilian Population 16 Years and Over: Construction, Extraction, and Maintenance  Occupations",Employed Civilian Population 16 Years and Over: Production Occupations,Employed Civilian Population 16 Years and Over: Transportation and Material Moving Occupations,Employed Civilian Population 16 Years and Over: Private Sector,Employed Civilian Population 16 Years and Over: Public Sector,Employed Civilian Population 16 Years and Over: Self-Employed (Incorporated and Not Incorporated),Employed Civilian Population 16 Years and Over: Private Non-Profit,Employed Civilian Population 16 Years and Over: Unpaid Family Workers,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Households: with Earnings,Households: No Earnings,Households: with Wage or Salary Income,Households: No Wage or Salary Income,Households: with Self-Employment Income,Households: No Self-Employment Income,"Households: with Interest, Dividends, or Net Rental Income","Households: No Interest, Dividends, or Net Rental Income",Households: with Social Security Income,Households: No Social Security Income,Households: with Supplemental Security Income (Ssi),Households: No Supplemental Security Income (Ssi),Households: with Public Assistance Income,Households: No Public Assistance Income,Households: with Retirement Income,Households: No Retirement Income,Households: with Other Types of Income,Households: No Other Types of Income,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status Is Determined: Living in Poverty,Population Age 18 to 64 for Whom Poverty Status Is Determined: At or Above Poverty Level,Population Age 65 and Over for Whom Poverty Status Is Determined: Living in Poverty,Population Age 65 and Over for Whom Poverty  Status Is Determined: At or Above Poverty Level,White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Black or African American Alone Population for  Whom&nbsp; Poverty Status Is Determined: Income Below Poverty Level,Black or African American Alone Population for  Whom&nbsp; Poverty Status Is Determined: Income At or Above Poverty Level,American Indian and Alaska Native Alone Population For Whom Poverty Status Is Determined: Income Below Poverty Level,American Indian and Alaska Native Alone Population For Whom Poverty Status Is Determined: Income At or Above Poverty Level,Asian Alone Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Asian Alone Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Native Hawaiian and Other Pacific Islander Alone Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Native Hawaiian and Other Pacific Islander Alone Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Some Other Race Alone Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Some Other Race Alone Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Two or More Races Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Two or More Races Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Hispanic or Latino Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Hispanic or Latino Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,"White Alone, Not Hispanic or Latino Population  for Whom Poverty Status Is Determined: Income Below Poverty Level","White Alone, Not Hispanic or Latino Population  for Whom Poverty Status Is Determined: Income At or Above Poverty Level","Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Workers 16 Years and Over: Did Not Work At Home,Average Commute to Work (In Min),Civilian Veterans 18 Years and Over: Gulf War 2001 or Later Only,Civilian Veterans 18 Years and Over: Gulf War 1990 to 2001 Only,Civilian Veterans 18 Years and Over: Vietnam Era Only,Civilian Veterans 18 Years and Over: Korean War Only,Civilian Veterans 18 Years and Over: World War Ii Only,Civilian Veterans 18 Years and Over: Served in Multiple Wars,Civilian Veterans 18 Years and Over: Other Service,Total: No Health Insurance Coverage,Total: with Health Insurance Coverage,Total: with Health Insurance Coverage: Public Health Coverage,Total: with Health Insurance Coverage: Private Health Insurance
Geo_FIPS,Geo_QName,SE_A00002_002,SE_A00002_003,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A10008_001,SE_A10008_002,SE_A10008_007,SE_A10024_002,SE_A10024_003,SE_A10024_004,SE_A10024_005,SE_A10024_006,SE_A10024_007,SE_A10024_008,SE_A10003_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A12004_002,SE_A12004_003,SE_A12003_002,SE_A12003_003,SE_A17005_002,SE_A17005_003,SE_A17006A_002,SE_A17006A_003,SE_A17006B_002,SE_A17006B_003,SE_A17006C_002,SE_A17006C_003,SE_A17006D_002,SE_A17006D_003,SE_A17006E_002,SE_A17006E_003,SE_A17006F_002,SE_A17006F_003,SE_A17006G_002,SE_A17006G_003,SE_A17006H_002,SE_A17006H_003,SE_A17006I_002,SE_A17006I_003,SE_A17004_002,SE_A17004_003,SE_A17004_004,SE_A17004_005,SE_A17004_006,SE_A17004_007,SE_A17004_008,SE_A17004_009,SE_A17004_010,SE_A17004_011,SE_A17004_012,SE_A17004_013,SE_A17004_014,SE_B17008_002,SE_B17008_003,SE_B17008_004,SE_B17008_005,SE_B17008_006,SE_B17008_007,SE_B17008_008,SE_B17008_009,SE_B17008_010,SE_B17008_011,SE_B17008_012,SE_B17008_013,SE_B17008_014,SE_A17009_002,SE_A17009_003,SE_A17009_004,SE_A17009_005,SE_A17009_006,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A10011_002,SE_A10011_003,SE_A10019_002,SE_A10019_003,SE_A10016_002,SE_A10016_003,SE_A10012_002,SE_A10012_003,SE_A10017_002,SE_A10017_003,SE_A10018_002,SE_A10018_003,SE_A10014_002,SE_A10014_003,SE_A10015_002,SE_A10015_003,SE_A10013_002,SE_A10013_003,SE_A13003A_002,SE_A13003A_003,SE_A13003B_002,SE_A13003B_003,SE_A13003C_002,SE_A13003C_003,SE_A13001A_002,SE_A13001A_003,SE_A13001B_002,SE_A13001B_003,SE_A13001C_002,SE_A13001C_003,SE_A13001D_002,SE_A13001D_003,SE_A13001E_002,SE_A13001E_003,SE_A13001F_002,SE_A13001F_003,SE_A13001G_002,SE_A13001G_003,SE_A13001H_002,SE_A13001H_003,SE_A13001I_002,SE_A13001I_003,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A09001_002,SE_A09003_001,SE_A16001_002,SE_A16001_003,SE_A16001_004,SE_A16001_005,SE_A16001_006,SE_A16001_007,SE_A16001_008,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005
1,Alabama,96.27983,50646.64207,293187,301064,310456,191669,458997,637947,596388,632659,649002,476681,243851,84349,3320247,1299048,25565,66270,2238,70662,92220,1867893,1227508,640385,556409,656035,294478,221453,92558,32039,14921,2.55,458922,1022839,993344,529178,230528,50270,35796,1175774,3529122,9872,248215,2097384,132095,1469864,69942,526508,55060,10723,905,32848,934,858,217,28379,1601,28204,3436,82959,4240,1419937,67755,29183,138532,300609,53215,242175,114405,31872,115842,202801,472143,177450,105650,113507,273803,458938,56341,45334,111964,78448,50849,217985,235849,9565,190426,187446,180436,1457975,322667,174070,139237,3435,1867893,157643,110545,111444,103556,96082,98775,87290,85886,74277,149177,177008,219020,147137,87049,86926,76078,1345050,522843,1298360,569533,154964,1712929,297562,1570331,672264,1195629,125575,1742318,29346,1838547,421975,1445918,207892,1660001,258068,821705,458150,2430999,79771,705595,400779,2850515,338102,913691,4210,20650,8623,56305,545,1629,23824,45567,19906,69942,60908,142896,367611,2761637,1953288,1776620,176668,7875,2080,2041,23376,15247,69165,2003907,25,41824,44852,107103,19622,5911,40746,70149,457826,4339389,1768628,3236113
2,Alaska,1.290799,571016.9533,53237,52810,49269,29078,72088,119324,93384,90697,94598,56287,19809,6487,476015,24205,109751,45920,9204,11308,60665,253346,166325,87021,66215,84527,40062,31946,16740,7317,6539,2.8,34376,134582,169609,88058,37958,10373,5630,183894,521745,1350,35283,347774,26808,242827,13328,12135,604,36393,8421,25105,1073,4177,399,6085,422,21052,2561,22714,1547,229462,12566,16454,23403,13160,6361,38118,28984,7260,12261,28879,85092,31793,15463,40546,49334,81424,11805,8750,18620,12184,9538,28574,42923,4106,36845,13905,29766,191652,87533,32904,34721,964,253346,10346,7294,8277,8110,8163,9315,8579,9041,8697,17779,26871,35417,29359,19909,24280,21909,213597,39749,205132,48214,35138,218208,111765,141581,57684,195662,11928,241418,16093,237253,51699,201647,110530,142816,26771,153727,45361,412376,4801,76340,33623,432780,3204,19394,25475,80742,4858,40523,1845,7093,1103,9835,6825,52076,5405,44622,30793,407378,288451,244771,43680,6039,365,3341,27220,13958,17026,339374,19,14494,9989,17249,1751,500,10165,11038,97156,615200,232264,464397
4,Arizona,62.03347,113653.1463,433968,450570,471732,279074,682423,964947,866788,847362,846687,700520,375282,130946,5444453,317462,317414,233213,14458,460262,263037,2571268,1679198,892070,702670,913200,360590,307920,162355,72152,52381,2.68,608637,1129129,1600240,869452,378467,86371,60236,1765901,5033816,21147,359097,3130658,195905,2443672,135663,145898,13512,108083,16416,118572,4768,6761,441,216548,15356,91124,9749,961311,67599,1756150,89537,42821,217151,219666,71731,378535,166136,56563,263102,388642,683683,341388,150131,151109,475160,669002,100645,79175,195109,138408,90951,342727,411522,18480,264785,124609,220085,2188316,424053,308832,203686,5771,2571268,164533,101661,114050,121789,119219,125548,119439,119201,109130,211504,265656,331692,224260,143662,148192,151732,1921676,649592,1843577,727691,265174,2306094,513957,2057311,869562,1701706,113443,2457825,43651,2527617,562036,2009232,264071,2307197,345435,1262453,591506,3496750,106823,1088257,702590,4633771,61524,240950,101492,206817,27754,201276,2182,11152,103819,342625,44403,210869,465270,1691503,376610,3406032,2700136,2363506,336630,61372,11754,25930,59158,34873,200947,2893223,26,57192,57141,166626,35851,13755,47800,109696,723547,6217481,2686086,4381819
5,Arkansas,57.63859,52037.52992,189636,196874,197804,119954,283463,391817,368457,371811,380776,290373,151782,56623,2301044,459542,20434,45504,8733,83576,80537,1158071,765440,392631,331238,411186,179505,135384,64399,23728,12631,2.52,270168,684659,593576,297250,119000,27707,19279,733114,2153465,6973,153823,1303490,70481,1023611,46487,182270,18033,7991,502,23881,574,3657,252,37105,2122,24975,2511,96629,4506,966877,44510,36635,86816,178324,31705,172638,74808,19541,61690,98757,318671,104600,61304,58001,167489,271403,42544,25593,71586,50920,29639,135190,145835,15481,117901,114132,115777,884106,198860,120960,96630,2934,1158071,90121,69997,70570,71413,67029,67177,59407,57376,51198,96374,112903,129299,82758,47954,43266,41229,844471,313600,811960,346111,110139,1047932,187518,970553,416967,741104,77025,1081046,20963,1137108,226248,931823,119628,1038443,163674,527477,283085,1454192,49501,433025,314927,1924705,128197,309097,4468,15314,5395,39253,2321,6263,22637,59526,18315,60536,56288,163873,285911,1827220,1200747,1066828,133919,5296,1868,2072,22782,10548,44461,1243313,22,25436,25849,67687,12161,5256,18838,41911,250631,2694603,1273752,1804224
6,California,252.0531,155854.0345,2451528,2468226,2575463,1526929,3789808,5967864,5205887,5101422,4710329,3172271,1600241,713529,23453222,2274108,303998,5692423,155290,5481792,1922664,13044266,8958436,4085830,3106104,3967889,2177312,1988891,1021711,445130,337229,2.95,4418675,5423462,7648680,5603047,2294771,645797,437111,10423307,27430588,54621,2006938,18591241,1199233,11174413,673722,983577,114005,127600,13789,2898994,139750,76540,5503,2612417,190835,717700,61629,6928288,513650,7228309,386398,415545,1175234,1692820,525711,1950499,993917,539809,1116974,2546055,3904118,1936179,969511,824869,2966560,4330959,664761,378309,1064837,761958,563492,1901947,2046239,286022,1389303,894384,1342470,12673756,2524062,2146732,1213552,33139,13044266,628526,534197,472128,503776,478612,500633,463380,467261,432570,864047,1158771,1620466,1264447,904574,1164827,1586051,10524799,2519467,9997572,3046694,1851239,11193027,2893599,10150667,3616722,9427544,791896,12252370,421752,12622514,2258339,10785927,1312093,11732173,1610923,7275254,2987600,21271818,551219,4839112,2814013,20229521,446672,1728719,57434,237654,572101,5036572,20156,131340,1006009,4378423,233357,1643955,2660658,12400086,1304435,13036862,15252673,13411041,1841632,958126,58407,173081,476291,199011,1073966,17117589,30,216813,173841,522256,123384,57947,132601,347689,2915070,35872267,14726131,24742908
8,Colorado,54.13435,103637.4975,334032,353262,360944,212767,523765,871500,764183,713520,702670,478345,210726,84635,4712574,233647,54847,178147,8643,216767,205724,2148994,1369378,779616,588453,768911,321275,275828,122042,46182,26303,2.56,315751,817452,1127242,981017,428252,90525,65340,1395735,4017406,11827,273925,2904589,131371,2477768,104559,111968,8332,25368,2230,94433,3279,4257,279,108958,6987,81837,5705,556547,32081,2068202,82406,66918,235105,195827,70707,310500,135007,81505,201457,412752,610047,305462,144132,135170,533420,708891,75852,59792,169482,99897,82497,302258,317560,15622,251164,107071,181083,1953603,390080,328084,226512,6310,2148994,102212,69727,70960,79368,77171,85230,85331,84969,79183,160762,213806,297180,224174,153853,176634,188434,1761654,387340,1698102,450892,287631,1861363,517136,1631858,546815,1602179,73923,2075071,42438,2106556,389151,1759843,231094,1917900,156239,1087411,353327,3133982,56307,701867,434274,4181268,39451,183313,10091,41781,19015,155812,1096,7243,34367,179758,27579,174085,191702,988744,293483,3450650,2415964,2165547,250417,89955,4956,32754,81742,22750,238118,2648121,26,57253,51905,114180,18732,8338,48557,74830,420782,5095555,1779763,3901917
9,Connecticut,738.242,4842.685677,183808,198000,221325,140700,348146,441742,424739,508428,507133,336422,174887,89744,2714031,383416,9955,161257,1123,186292,119000,1370746,893438,477308,390361,464870,224973,183477,73650,22557,10858,2.53,232663,666828,608139,541380,315473,76404,42208,898354,2569799,4782,192494,1815636,116456,1412028,74508,183893,21372,4283,564,85291,4676,624,72,87444,10238,42073,5026,260509,27173,1261901,61109,7057,109467,189162,44344,191756,76439,39585,162153,208379,484166,152041,84915,66172,324150,468534,68744,35235,87456,69907,59526,185973,199229,2646,128797,85693,99746,1225295,233930,176582,176771,3058,1370746,68150,48364,46483,51159,47475,47511,47948,47775,46603,89870,117606,171667,135477,101796,129559,173303,1080309,290437,1040618,330128,162830,1207916,360499,1010247,431210,939536,63967,1306779,49318,1321428,279608,1091138,151317,1219429,97721,636656,204356,1950781,42069,538504,200670,2441040,65664,300987,1629,7926,12398,143870,116,943,45567,134472,18102,96703,123431,437058,137123,2187722,1539670,1397871,141799,86407,1273,4837,48323,12116,93966,1692626,27,16884,14346,57540,17416,9327,10200,41808,187937,3336643,1238857,2521534
10,Delaware,491.2715,1948.51102,54830,53774,60206,34874,84244,127618,110598,124254,132676,104186,51561,18427,658237,212302,3729,37009,542,18350,27079,363322,240038,123284,99990,133462,55886,44543,18741,6741,3959,2.57,66816,209449,178917,124632,64883,12849,11774,228567,696669,2149,46333,455620,26481,318176,15686,98715,8665,2012,122,19299,758,200,11,8275,489,8943,750,38703,2326,291464,14015,5223,31527,36722,9345,53583,23112,6421,43214,46103,112795,42964,19500,25111,73218,110281,13624,11299,25641,16671,13537,44985,54024,2425,37974,19997,31944,312041,67199,37436,38353,591,363322,19136,12812,12444,14882,14598,16498,14747,14089,14353,27378,37071,52342,35907,24133,27359,25573,277343,85979,269823,93499,29544,333778,81003,282319,127066,236256,17204,346118,8141,355181,95854,267468,35941,327381,34955,164300,63156,498211,11289,158853,57657,585377,37776,164867,681,2999,3976,32550,69,457,4005,13911,5236,21203,18541,67560,45071,537698,401984,364263,37721,11670,480,1357,9535,2737,22545,427763,26,6202,7472,23139,4304,1740,7016,15565,53946,888273,358213,677742
11,District of Columbia,11330.28,61.13556665,45040,34261,28945,15684,74637,161872,102301,76123,70150,48154,24338,11178,285857,320811,2091,27592,376,34511,21445,284386,123683,160703,125389,88324,33407,22340,9034,3596,2296,2.3,44850,83185,76822,122380,104526,41447,20906,168553,496934,578,31552,376871,27967,195964,5512,132025,20050,890,86,18692,566,336,18,18262,946,10702,789,42566,1894,176605,4779,565,10355,4795,1841,17217,11608,13858,24717,88879,69780,36986,34638,61632,103559,136297,5901,9075,17928,11925,9921,22298,34585,193,9877,2581,12731,184164,91755,27521,73010,421,284386,24456,12304,9470,7695,9001,7840,7232,7182,7492,14435,20259,30240,26622,20085,28096,51977,229920,54466,223802,60584,29846,254540,71004,213382,55299,229087,15062,269324,10176,274210,42079,242307,18954,265432,29328,92888,66005,390277,11807,69371,16824,252339,79190,229715,496,1474,3132,21985,9,346,5371,28383,2118,18294,8776,64059,14051,224773,144772,125308,19464,133343,614,16727,49976,3662,24750,349094,31,4846,3188,6268,1981,906,2904,6063,25179,657549,243292,480363
